Depth,Train,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20,Test21,Test22,Test23,Test24,Test25,Test26,Test27,Test28,Test29,Test30,Test31,Test32,Test33,Test34,Test35,Test36,Test37,Test38,Test39,Test40,Test41,Test42,Test43,Test44,Test45,Test46,Test47,Test48,Test49,Test50,Mean,STD,First_Quartile,Median,Third_Quartile
11,54.141945844671454,48.95397489539749,52.40274599542334,46.885245901639344,50.23255813953489,54.157303370786515,52.876106194690266,52.317880794701985,53.84615384615385,42.956120092378754,45.2922077922078,52.6431718061674,55.36992840095465,49.90403071017274,53.74449339207048,53.00970873786408,53.5632183908046,49.763033175355446,54.377880184331794,53.57142857142857,51.037344398340245,50.66666666666667,53.57142857142857,55.021834061135365,49.07834101382488,50.54744525547446,49.898989898989896,46.568627450980394,52.357320099255574,47.12460063897764,46.15384615384615,49.89561586638831,51.37614678899083,49.68017057569296,53.2608695652174,53.139013452914796,46.166394779771615,53.923541247484906,53.01724137931034,52.995391705069125,50.22123893805309,49.40577249575552,52.83018867924528,52.361396303901444,54.603854389721626,53.07017543859649,55.98290598290598,54.46808510638298,51.252847380410024,43.55716878402904,49.57627118644068,51.173558492945325,3.0778353525899327,49.700886225608585,52.33760044697878,53.4876311844078
12,54.599525960377434,48.837209302325576,51.70842824601367,48.18355640535373,49.76851851851852,53.914988814317674,52.92792792792793,52.90178571428571,53.04347826086957,43.13725490196079,45.36585365853659,52.77161862527716,54.30622009569378,51.05042016806722,52.702702702702695,53.28185328185329,53.546910755148744,49.523809523809526,55.140186915887845,53.81165919282511,50.627615062761514,50.89285714285714,53.16455696202531,55.309734513274336,48.49187935034803,52.164948453608254,49.897750511247445,46.909090909090914,53.03030303030303,50.0,47.713717693836976,49.36708860759494,51.49425287356322,50.21929824561403,53.47826086956522,53.37837837837838,45.86994727592268,53.333333333333336,52.078774617067836,51.96304849884527,50.34168564920274,50.282485875706215,52.95508274231678,51.774530271398746,53.96145610278372,53.77777777777778,55.91397849462365,53.319057815845824,50.46296296296296,42.799188640973625,49.57446808510638,51.209437875186225,2.9170710933777846,49.80082651670075,51.86878938512201,53.30975668234769
13,55.40942817790021,49.12663755458515,49.53917050691244,46.38655462184874,50.112359550561806,53.75854214123007,50.877192982456144,53.686635944700456,51.483050847457626,43.24324324324324,44.481054365733115,52.888888888888886,55.02392344497608,51.388888888888886,53.033707865168545,53.63457760314342,53.0373831775701,47.40566037735849,51.66666666666667,55.033557046979865,48.68421052631579,51.37614678899083,51.61290322580645,56.29139072847682,49.76635514018692,48.837209302325576,50.31055900621118,47.0873786407767,52.31958762886598,47.15447154471545,45.27972027972028,49.275362318840585,50.36674816625917,48.25327510917031,49.56331877729257,53.96825396825397,45.43973941368078,51.77865612648221,51.78571428571429,52.13483146067416,50.81206496519721,48.96193771626297,52.00945626477541,51.385927505330486,55.90909090909091,52.054794520547944,56.00000000000001,54.17558886509636,49.65034965034965,45.62043795620438,50.21929824561403,50.677849495111985,3.0719204120505323,49.00311267584352,51.12666988572349,52.74656357388316
14,56.11336771484643,48.67256637168141,49.76190476190476,49.209486166007906,48.98419864559819,53.75854214123007,52.522935779816514,52.65588914549654,51.82795698924731,41.39492753623188,44.55611390284757,52.459016393442624,54.01459854014598,53.01724137931034,53.51473922902494,52.98804780876494,52.594339622641506,46.715328467153284,51.442307692307686,55.033557046979865,48.44444444444444,50.81967213114754,51.47783251231527,55.53047404063205,49.047619047619044,52.71493212669684,49.57805907172996,48.68421052631579,52.38095238095239,50.33407572383074,49.327354260089685,49.06832298136646,50.74999999999999,48.55233853006681,48.64253393665158,54.14746543778802,45.51148225469729,51.717171717171716,50.90497737556561,50.80831408775982,50.815850815850816,51.85995623632385,51.55875299760192,51.4161220043573,54.66970387243736,51.52224824355972,56.235827664399096,53.99568034557235,48.803827751196174,46.389496717724285,50.0,50.81666793711395,2.8699913299004938,49.052795031055894,51.16054968996146,52.64050176478278
15,54.03249952366694,50.56022408963585,49.79253112033195,46.380090497737555,48.53875476493011,49.80544747081712,51.71503957783641,49.67741935483871,52.8395061728395,43.90034364261168,45.253863134657834,51.994091580502214,49.93234100135318,49.1442542787286,50.0,50.18007202881153,50.810810810810814,47.92243767313019,48.971193415637856,50.064683053040106,47.156726768377254,51.16580310880829,47.55434782608695,53.897849462365585,48.032564450474894,48.085585585585584,49.79919678714859,49.368421052631575,50.81300813008131,46.87842278203724,46.96449026345933,48.30508474576271,47.88732394366197,48.34437086092716,47.22222222222222,51.36239782016349,46.73913043478261,51.39593908629442,51.17565698478561,50.0,49.36350777934936,48.488241881299,49.53764861294584,51.56037991858887,55.70839064649243,50.2724795640327,53.77483443708609,50.19505851755527,47.53173483779972,44.740024183796855,49.865229110512125,49.41338350946732,2.294357550627746,47.949969367466366,49.73497523758533,50.748164130517075
16,54.63561399598841,50.0,49.002849002849004,45.924225028702644,48.00514800514801,50.33377837116155,51.01763907734057,49.611398963730565,52.87206266318538,42.223786066150595,45.433526011560694,51.28205128205128,50.638297872340424,48.275862068965516,49.93514915693904,49.937264742785445,50.27472527472527,48.24191279887483,49.29178470254957,49.129852744310575,46.9187675070028,50.911458333333336,46.85792349726776,53.81471389645777,47.60601915184679,48.857868020304565,49.392712550607285,51.275820170109355,50.552486187845304,48.310387984981226,48.67256637168141,47.934918648310386,47.77618364418939,47.92243767313019,47.08994708994709,51.38504155124654,47.36196319018405,51.14213197969543,51.89873417721519,50.608930987821374,49.7841726618705,49.01719901719901,49.670619235836625,51.52354570637119,54.52054794520548,50.42372881355932,53.566621803499324,49.66974900924703,47.30878186968839,46.113306982872196,49.307479224376735,49.37256157432548,2.244264609625819,47.95247598751979,49.502055757168925,50.63095615121066
17,55.008806394797446,49.72527472527473,48.843537414965986,45.76837416481069,47.94685990338164,50.19108280254777,51.354838709677416,48.484848484848484,51.140456182472995,42.46196403872752,45.146726862302486,51.02639296187683,48.06701030927835,49.63503649635037,50.0,48.75148632580262,50.40760869565217,47.671232876712324,47.51308900523561,47.160493827160494,46.72021419009371,49.685534591194966,46.31979695431472,53.350854139290405,48.728246318607766,48.55072463768116,50.06485084306096,50.23474178403756,50.604026845637584,48.30097087378641,47.83147459727385,47.91418355184744,47.31774415405777,47.74193548387097,46.50306748466257,51.25827814569537,47.122302158273385,51.42150803461063,51.42857142857142,47.85353535353536,49.65229485396384,48.95591647331787,47.896039603960396,50.72847682119205,54.266666666666666,50.0,53.65205843293492,48.9769820971867,45.98639455782313,45.025510204081634,47.575360419397114,48.85929150975414,2.2627991011018516,47.59932853372592,48.73986632220519,50.223827038665114
18,55.595432300163125,50.0,48.53146853146853,44.593202883625125,47.2972972972973,49.935316946959894,50.58977719528178,47.708578143360754,51.199040767386094,43.01628106255356,43.48739495798319,51.12107623318386,46.306068601583114,48.561151079136685,50.19659239842726,47.89410348977136,49.42675159235669,47.5609756097561,46.68335419274093,46.96969696969697,46.13297150610583,48.9873417721519,45.72490706319702,52.110817941952504,45.883777239709445,46.56319290465632,49.806451612903224,48.82226980728051,51.00133511348465,46.54226125137212,47.134502923976605,47.503045066991476,48.333333333333336,47.78523489932886,47.07903780068728,51.05590062111801,46.498905908096276,51.68539325842697,50.206896551724135,47.93187347931874,48.97680763983629,47.7533960292581,47.44958481613286,51.379763469119574,53.12916111850865,50.210378681626935,53.733333333333334,47.55784061696658,46.67590027700831,44.68339307048985,48.460508701472556,48.35755291524275,2.342662888031888,46.75493988697994,47.91298848454505,50.147444298820446
19,58.26333628057766,46.25,46.880907372400756,47.160493827160494,46.63677130044843,49.38837920489297,48.98710865561694,45.702005730659025,50.66666666666667,42.497579864472414,42.214111922141115,49.053030303030305,47.487844408427875,50.150150150150154,51.15452930728242,47.88273615635179,51.01351351351351,45.438596491228076,49.601275917065394,47.35973597359736,47.66666666666667,46.8421052631579,47.3257698541329,52.65780730897009,43.92220421393841,48.1578947368421,48.095238095238095,46.72657252888318,50.69860279441117,47.0976253298153,43.91608391608391,46.1764705882353,49.70414201183432,46.18055555555556,46.24277456647399,51.79153094462541,44.89208633093525,49.9194847020934,48.59154929577465,49.45054945054945,48.592870544090054,48.13278008298755,46.6565349544073,50.255536626916516,51.9434628975265,52.02952029520295,51.85840707964602,48.085758039816234,46.07329842931937,45.61933534743202,46.64310954063604,47.94943529514607,2.4536475935422435,46.34669282511211,47.77470141150923,49.67842548814209
20,56.825675972741266,48.7698986975398,47.96633941093969,45.492662473794546,45.64459930313589,49.62311557788945,49.46236559139785,47.4390243902439,51.71990171990172,42.34875444839858,42.685589519650655,50.86071987480438,46.36015325670498,48.095238095238095,49.66078697421981,47.837150127226465,51.58045977011494,47.249647390691116,46.95290858725762,45.38745387453875,46.76966292134831,48.46870838881491,45.905420991926185,53.08310991957105,46.13259668508287,47.92773645058448,47.71838331160365,48.205128205128204,51.26404494382022,45.82043343653251,44.82366325369738,46.8564650059312,48.148148148148145,48.52150537634409,46.359223300970875,52.35531628532974,46.91224268689058,50.83440308087292,49.929278642149924,48.333333333333336,49.42028985507246,47.27272727272727,45.1693851944793,49.93215739484396,52.6685393258427,50.22692889561271,51.69491525423729,47.02154626108999,46.976090014064695,45.26854219948849,46.70487106017192,48.037231323587996,2.431329498819851,46.44633270757171,47.88244328890548,49.65136912513722
