Depth,Train,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20,Test21,Test22,Test23,Test24,Test25,Test26,Test27,Test28,Test29,Test30,Test31,Test32,Test33,Test34,Test35,Test36,Test37,Test38,Test39,Test40,Test41,Test42,Test43,Test44,Test45,Test46,Test47,Test48,Test49,Test50,Mean,STD,First_Quartile,Median,Third_Quartile
11,64.01371795001877,63.545048701298704,64.12337662337663,62.79423701298701,63.940746753246756,63.92045454545454,63.230519480519476,63.89001623376623,63.83928571428571,61.515827922077925,63.50446428571429,64.01176948051948,64.11323051948052,63.35227272727273,63.98133116883117,63.28125,64.38717532467533,63.90016233766234,63.74797077922077,64.79301948051948,63.65665584415584,64.38717532467533,63.63636363636363,64.46834415584416,63.737824675324674,63.971185064935064,63.605925324675326,64.03206168831169,64.12337662337663,63.159496753246756,63.605925324675326,63.545048701298704,63.08847402597403,63.42329545454546,63.70738636363637,63.44358766233766,63.58193810248605,64.01826484018265,64.79959411466261,63.460172501268396,64.24150177574836,64.48503297818367,63.93708777270422,63.4906139015728,63.68340943683409,63.31811263318112,64.15017757483511,65.03297818366312,64.55606291222729,62.78031456113647,63.34855403348554,63.766962020729146,0.5863373405778249,63.467782851344495,63.74289772727272,64.09293831168831
12,64.05349188794301,63.50446428571429,64.08279220779221,62.98701298701299,64.0523538961039,63.95089285714286,63.230519480519476,64.11323051948052,63.77840909090909,61.55641233766234,63.5349025974026,64.00162337662337,64.0523538961039,63.42329545454546,64.00162337662337,63.31168831168831,64.42775974025975,63.92045454545454,63.7885551948052,64.98579545454545,63.605925324675326,64.43790584415584,63.83928571428571,64.48863636363636,63.737824675324674,64.14366883116884,63.605925324675326,64.12337662337663,64.18425324675324,63.524756493506494,63.859577922077925,63.50446428571429,63.10876623376623,63.45373376623377,63.859577922077925,63.46387987012987,63.62252663622526,63.96752917300863,64.71841704718418,63.4703196347032,64.24150177574836,64.59665144596651,64.14003044140031,63.429731100963984,63.62252663622526,63.38914256722475,64.14003044140031,64.96194824961948,64.50532724505327,62.81075596144089,63.338406900050735,63.81201086616326,0.5791771154442135,63.47885579745598,63.84943181818181,64.1358669868944
13,64.13101048124436,63.5551948051948,63.83928571428571,62.7333603896104,64.0625,63.940746753246756,63.05803571428571,64.15381493506493,63.57548701298701,61.586850649350644,63.46387987012987,64.0219155844156,64.1030844155844,63.50446428571429,63.99147727272727,63.36241883116883,64.3465909090909,63.737824675324674,63.47402597402597,65.09740259740259,63.403003246753244,64.45819805194806,63.70738636363637,64.5799512987013,63.798701298701296,63.75811688311688,63.63636363636363,64.0625,64.11323051948052,63.149350649350644,63.5551948051948,63.47402597402597,63.0275974025974,63.28125,63.47402597402597,63.50446428571429,63.4906139015728,63.795027904616944,64.65753424657534,63.409436834094365,64.31253170979198,64.43429731100963,64.06900050735668,63.37899543378995,63.73414510400812,63.23693556570269,64.1298833079655,64.97209538305428,64.41400304414003,62.98325722983257,63.399289700659565,63.74017535926782,0.5951135413669114,63.42304759310324,63.72076573382225,64.09456343852747
14,64.18072790364965,63.5146103896104,63.86972402597403,62.98701298701299,63.72767857142857,63.83928571428571,63.16964285714286,63.75811688311688,63.50446428571429,62.368100649350644,63.47402597402597,63.95089285714286,63.83928571428571,63.626217532467535,63.98133116883117,63.271103896103895,64.3060064935065,63.66680194805194,63.32183441558441,64.76258116883116,63.403003246753244,64.39732142857143,63.34212662337663,64.53936688311688,63.8291396103896,63.8088474025974,63.605925324675326,63.91030844155844,64.09293831168831,63.05803571428571,63.545048701298704,63.47402597402597,63.05803571428571,63.32183441558441,63.11891233766234,63.5146103896104,63.277524099441905,63.78488077118214,64.62709284627093,63.05428716387621,64.26179604261796,64.34297311009641,63.66311516996449,63.34855403348554,63.65296803652968,63.16590563165906,64.17047184170472,64.96194824961948,64.31253170979198,62.89193302891933,63.338406900050735,63.67625173374317,0.5217013715717718,63.32597753670099,63.6395927844986,63.940746753246756
15,64.23633024544172,63.69724025974026,63.859577922077925,62.763798701298704,63.7885551948052,63.605925324675326,63.271103896103895,63.7885551948052,63.76826298701299,61.34334415584416,63.2609577922078,64.00162337662337,63.5146103896104,63.34212662337663,63.818993506493506,63.05803571428571,64.23498376623377,63.66680194805194,63.037743506493506,64.50892857142857,63.11891233766234,64.53936688311688,63.31168831168831,64.63068181818183,63.59577922077923,63.737824675324674,63.605925324675326,64.47849025974025,64.0219155844156,63.24066558441559,63.8088474025974,63.2609577922078,62.69277597402597,63.16964285714286,63.05803571428571,63.372564935064936,63.45002536783358,63.825469304921356,64.68797564687976,63.10502283105023,64.14003044140031,64.38356164383562,63.795027904616944,63.480466768138,64.03855910705227,63.084728564180615,64.17047184170472,64.60679857940131,64.1197361745307,62.76002029426687,63.37899543378995,63.62004266820192,0.6135988942514706,63.2609577922078,63.63636363636363,64.01684253246754
16,64.3118195561959,63.63636363636363,63.77840909090909,62.38839285714286,63.89001623376623,63.63636363636363,63.20008116883117,63.99147727272727,63.971185064935064,62.063717532467535,63.403003246753244,63.89001623376623,63.70738636363637,63.13920454545454,63.77840909090909,62.91599025974026,64.09293831168831,63.61607142857143,63.230519480519476,64.59009740259741,63.09862012987013,64.43790584415584,63.35227272727273,64.53936688311688,63.56534090909091,63.25081168831169,63.57548701298701,64.28571428571429,64.01176948051948,62.72321428571429,63.331980519480524,63.22037337662337,62.66233766233766,63.16964285714286,63.179788961038966,63.36241883116883,63.23693556570269,63.754439370877726,64.73871131405377,63.409436834094365,64.18061897513952,64.01826484018265,64.04870624048706,63.43987823439878,63.855910705225774,63.013698630136986,64.19076610857432,64.59665144596651,63.99797057331303,62.597666159309995,63.23693556570269,63.58006557749708,0.5855639332141217,63.222909902597394,63.59577922077922,63.99634724816659
17,64.38588836916708,63.59577922077923,63.70738636363637,62.31737012987013,63.95089285714286,63.626217532467535,63.16964285714286,63.90016233766234,63.84943181818182,61.29261363636363,63.2609577922078,63.89001623376623,63.59577922077923,63.2609577922078,63.77840909090909,62.7739448051948,64.14366883116884,63.63636363636363,63.037743506493506,64.52922077922078,63.0478896103896,64.27556818181817,63.382711038961034,64.48863636363636,63.32183441558441,63.5146103896104,63.63636363636363,64.28571428571429,63.98133116883117,62.99715909090909,63.49431818181818,63.21022727272727,62.64204545454546,63.078327922077925,63.179788961038966,63.39285714285714,63.34855403348554,63.84576357179097,64.66768138001015,63.24708269913749,64.15017757483511,64.14003044140031,63.886352105530186,63.399289700659565,63.86605783866058,63.06443429731101,64.06900050735668,64.54591577879249,63.896499238964985,62.597666159309995,63.05428716387621,63.54049468099126,0.6222522570465785,63.18739853896104,63.59577922077923,63.899246562988
18,64.47050945138346,63.59577922077923,63.76826298701299,62.297077922077925,63.69724025974026,63.545048701298704,62.98701298701299,63.70738636363637,63.8088474025974,60.97808441558441,62.81452922077923,63.83928571428571,62.92613636363637,63.13920454545454,63.72767857142857,62.71306818181818,64.03206168831169,63.545048701298704,62.824675324675326,64.3060064935065,62.956574675324674,64.24512987012987,62.936282467532465,64.37702922077922,63.43344155844156,63.47402597402597,63.545048701298704,64.31615259740259,64.03206168831169,62.96672077922077,63.605925324675326,63.09862012987013,62.79423701298701,63.08847402597403,63.09862012987013,63.43344155844156,63.429731100963984,63.855910705225774,64.60679857940131,62.86149162861492,64.1197361745307,64.30238457635717,63.68340943683409,63.54134956874683,63.73414510400812,63.09487569761543,64.06900050735668,64.23135464231355,63.916793505834605,62.74987316083207,63.16590563165906,63.4603396159903,0.6435733661422737,63.01237824675325,63.545048701298704,63.851754457490756
19,64.54457826435464,63.28125,63.59577922077923,62.743506493506494,63.65665584415584,63.605925324675326,62.844967532467535,63.64650974025974,63.545048701298704,61.94196428571429,62.91599025974026,63.798701298701296,63.47402597402597,63.36241883116883,63.77840909090909,62.763798701298704,64.28571428571429,63.25081168831169,63.44358766233766,64.3060064935065,63.22037337662337,64.09293831168831,62.98701298701299,64.40746753246754,63.16964285714286,63.57548701298701,63.5146103896104,63.95089285714286,64.03206168831169,62.7333603896104,63.149350649350644,63.179788961038966,63.0073051948052,63.05803571428571,63.36241883116883,63.56534090909091,63.17605276509386,63.66311516996449,64.43429731100963,63.287671232876704,64.1298833079655,64.07914764079148,63.561643835616444,63.338406900050735,63.4703196347032,63.084728564180615,63.825469304921356,64.58650431253172,63.886352105530186,63.00355149670218,62.95281582952816,63.47454237004751,0.5204638648349019,63.1544237012987,63.47217280436459,63.793628246753244
20,64.6446218939294,63.44358766233766,63.65665584415584,62.550730519480524,63.35227272727273,63.47402597402597,62.86525974025974,63.230519480519476,63.76826298701299,61.728896103896105,62.824675324675326,63.87987012987013,63.20008116883117,63.22037337662337,63.67694805194806,62.601461038961034,64.0523538961039,63.35227272727273,62.763798701298704,63.8088474025974,63.05803571428571,64.22483766233766,62.88555194805194,64.43790584415584,63.32183441558441,63.44358766233766,63.32183441558441,64.0726461038961,64.0523538961039,62.7739448051948,63.24066558441559,63.0478896103896,62.7739448051948,63.2609577922078,62.743506493506494,63.45373376623377,63.267376966007106,63.74429223744292,64.50532724505327,62.94266869609335,64.09944190766109,63.96752917300863,63.0339928970066,63.338406900050735,63.63267376966007,63.02384576357179,63.81532217148656,64.18061897513952,63.795027904616944,62.719431760527655,62.87163876204972,63.37003437011999,0.5560824684603909,62.96296296296296,63.330120657817574,63.78833667521596
