Depth,Train,Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20,Test21,Test22,Test23,Test24,Test25,Test26,Test27,Test28,Test29,Test30,Test31,Test32,Test33,Test34,Test35,Test36,Test37,Test38,Test39,Test40,Test41,Test42,Test43,Test44,Test45,Test46,Test47,Test48,Test49,Test50,Mean,STD,First_Quartile,Median,Third_Quartile
11,6.773030648005536,6.529017857142858,6.439820022497187,7.8701155751238305,6.096528365791702,6.714962385065477,6.5479452054794525,6.64796633941094,7.001944984717976,10.34770514603616,7.892503536067892,6.690929451287794,6.4804469273743015,7.196235815112095,6.823266219239374,7.483552631578948,6.585641605426796,5.9071729957805905,6.533776301218161,6.8807339449541285,6.848552338530068,6.490179333902647,5.852842809364549,7.1025930101465615,5.978108335672187,7.748251748251748,6.887897378694925,8.087400681044269,5.935302390998594,8.151423045040067,7.4074074074074066,6.653674832962138,6.1386681282543165,6.468628539700166,6.815020862308763,6.527127513081796,7.951671817926384,7.475592747559275,7.034601086645696,6.353591160220995,6.436064644173518,8.283518360375746,6.292134831460674,7.042253521126761,7.040309221424628,6.642876749931376,7.3021181716833885,7.345767575322812,6.42306594347702,6.642679213949626,6.483790523690773,6.93026758467269,0.7833433979888722,6.48128282645342,6.702945918176636,7.275647582540565
12,6.813210116297238,6.4453125,6.383577052868391,6.93450742982939,6.068303697431555,6.714962385065477,6.438356164383562,6.64796633941094,6.779661016949152,10.403337969401948,7.892503536067892,6.662933930571109,6.340782122905028,6.725712704123997,6.543624161073826,7.565789473684211,6.613906161673262,5.850914205344585,6.533776301218161,6.8807339449541285,6.737193763919821,6.490179333902647,5.852842809364549,7.046223224351747,5.865843390401347,7.076923076923077,6.804238706079197,7.321225879682179,5.9071729957805905,7.654048079579995,6.7340067340067336,6.514476614699332,6.1386681282543165,6.3575791227096055,6.8428372739916545,6.527127513081796,7.333520651868502,7.364016736401674,6.805833571632829,6.2154696132596685,6.265948398072016,7.600341588385994,6.292134831460674,6.848936757801711,6.957482054113749,6.642876749931376,7.246376811594203,7.144906743185079,6.223237225235512,5.840022142264047,6.456082017179273,6.75068867272143,0.7205672141013728,6.364078605249302,6.655450134991025,6.951738398042659
13,6.959418737025381,6.2779017857142865,6.046119235095613,7.59493670886076,6.294101044312729,6.575647812761215,6.3561643835616435,6.535764375876578,6.75187552097805,10.23643949930459,7.637906647807638,6.662933930571109,6.424581005586592,7.1685579850539725,6.599552572706935,7.483552631578948,6.4160542679479935,5.654008438818566,6.007751937984496,7.052752293577981,6.180400890868596,6.3763165385710225,5.797101449275362,7.187147688838783,5.978108335672187,7.636363636363637,6.776352481873954,8.257661748013621,5.710267229254571,8.013263332412269,7.267115600448934,6.625835189309577,5.645382296519594,6.135480288728484,6.314325452016689,6.554668135499862,7.83928069682495,7.308228730822873,6.634257935373176,6.4088397790055245,6.209242982704848,8.055792769712497,6.179775280898876,6.655619994476663,6.7918277194919945,6.258578094976667,7.023411371237458,7.259684361549498,6.080502426491579,6.919457514530861,6.345247991133278,6.7640428004199515,0.8180604042410695,6.263409017661072,6.587600192734075,7.18250026289258
14,6.861202258978995,6.138392857142857,5.877390326209224,6.851953769950468,6.124753034151849,6.575647812761215,6.273972602739726,6.395511921458626,6.696304529035843,12.712100139082057,7.524752475247524,6.270996640537514,6.201117318435754,6.808746194298367,6.599552572706935,7.291666666666667,6.302996042962125,5.40084388185654,5.92469545957918,7.052752293577981,6.0690423162583516,6.177056646740677,5.8249721293199554,6.93348365276212,5.781644681448218,6.5174825174825175,6.553262688232013,6.2996594778660615,5.5696202531645564,6.244819010776458,6.172839506172839,6.597995545657015,5.563167991230475,6.0521932259855635,5.980528511821975,6.472046268245663,6.125316100028098,7.140864714086471,6.434086359736918,6.077348066298343,6.180890275021265,6.746370623398805,6.03932584269663,6.517536592101629,6.6261733848702375,6.038978863573977,6.911928651059086,7.173601147776183,5.823579788752498,5.867699972322169,6.151288445552785,6.4737789957768,1.0109757826976762,6.056405498553761,6.27248462163862,6.619518181829412
15,11.077814236924931,10.072544642857142,10.123734533183352,11.282333516785911,10.781823313576066,10.6993591529674,10.73972602739726,10.799438990182328,11.89219227563212,14.214186369958275,11.598302687411598,9.854423292273236,10.307262569832403,11.126487683365625,10.961968680089486,11.458333333333332,10.627473148671566,9.732770745428972,9.883720930232558,11.09518348623853,9.465478841870825,11.243951038998008,9.75473801560758,11.302142051860203,9.935447656469268,11.944055944055943,10.373675404350251,13.308740068104427,10.548523206751055,11.826471400939486,11.503928170594838,11.108017817371937,9.317621266100302,10.133259300388673,9.930458970792767,10.382814651611126,12.082045518404046,11.297071129707113,10.580497569345154,10.46961325966851,9.89509498157074,12.32564759464845,10.53370786516854,10.494338580502625,11.181667586968526,10.129014548449081,11.315496098104793,11.076040172166428,9.620325435341135,10.240797121505674,10.252147409254642,10.816481881121787,0.9469637119641953,10.13007573643398,10.663416150819483,11.293386726476813
16,10.944440724123307,9.877232142857142,9.67379077615298,11.007154650522839,10.527801298334746,10.504318751741431,10.301369863013699,10.743338008415147,11.253125868296749,16.689847009735743,11.117397454031117,9.518477043673013,9.972067039106145,10.84970938278439,10.766219239373601,10.910087719298247,10.344827586206897,9.648382559774966,9.634551495016613,10.521788990825689,9.326280623608017,11.130088243666382,9.559643255295429,11.13303269447576,9.767050238563009,10.76923076923077,10.206358059118795,11.975028376844495,10.29535864978903,10.665929814865985,10.802469135802468,10.662583518930957,9.125787887092354,9.60577456968351,9.902642559109875,10.217570917102726,10.845743186288283,11.241283124128312,10.551901629968546,10.331491712707182,9.810036858519988,11.357813834329633,10.589887640449438,10.273405136702568,10.988404196576477,9.799615701345045,11.09253065774805,10.78909612625538,9.534684556094776,9.687240520343206,9.864228318093653,10.515273587837825,1.0894241232578317,9.823584723413404,10.51305387128356,10.848717833660363
17,11.328935913748074,10.100446428571429,10.095613048368953,11.309851403412218,11.205193338978267,10.977988297575926,10.904109589041095,11.220196353436185,11.836621283689913,17.079276773296247,11.315417256011315,9.742441209406495,10.418994413407821,11.292554663714364,11.15771812080537,11.239035087719298,10.486150367439231,9.78902953586498,10.04983388704319,10.95183486238532,9.716035634743875,11.243951038998008,10.172798216276476,11.443066516347237,10.216110019646365,11.244755244755245,10.764082543223648,12.145289443813848,10.60478199718706,10.997513125172699,10.830527497194165,11.191536748329622,9.427240339819129,10.272071071626874,10.54242002781641,10.658220875791793,11.042427648215792,11.603905160390516,10.809265084358021,10.46961325966851,10.12191664303941,12.012524907486478,10.870786516853933,10.577188621927643,11.236885698509111,10.238814164150426,11.259754738015609,10.989956958393114,9.648872395089922,9.770274010517575,10.058187863674148,10.867061598624005,1.0992060543437512,10.22178605577238,10.850657007024049,11.23849774041675
18,11.410968994843634,9.933035714285714,9.758155230596175,11.915244909190974,11.854360711261643,10.755084981889105,10.575342465753424,11.388499298737727,11.864406779661017,13.96383866481224,11.711456859971712,9.574468085106384,9.804469273743017,11.209521173539995,10.710290827740492,10.910087719298247,10.966647823629168,9.873417721518987,10.326688815060908,10.6651376146789,9.465478841870825,11.016225448334756,10.28428093645485,11.13303269447576,10.637103564412012,11.748251748251748,10.764082543223648,12.939841089670828,10.745428973277074,11.715943630837247,11.307519640852973,10.857461024498887,9.536859413537956,9.883398112159911,11.432545201668985,11.319195813825393,11.941556617027254,11.548117154811715,10.408921933085502,10.883977900552486,10.178622058406578,13.0088243666382,11.235955056179774,10.7981220657277,11.01601325234677,9.82706560527038,11.231884057971014,10.616929698708752,9.620325435341135,10.351508441738169,10.03047935716265,10.904902126975935,0.9326168979277633,10.294882906106364,10.827791545113293,11.371173427509644
19,8.825531819906693,7.2265625,6.974128233970754,10.511832691249312,8.806096528365792,8.999721370855392,7.287671232876712,8.948106591865358,8.446790775215337,12.211404728789987,9.816124469589816,7.2508398656215,8.184357541899441,9.244395239413231,8.053691275167784,8.05921052631579,8.535895986433014,7.285513361462728,8.610188261351052,8.228211009174311,7.9621380846325165,7.600341588385994,8.138238573021182,8.934611048478015,7.605950042099355,10.237762237762238,8.449525934188511,10.32917139614075,7.144866385372714,9.864603481624759,8.810325476992144,8.741648106904233,6.906001644286105,7.384786229872294,8.90125173852573,8.757917928945194,8.766507445911772,8.647140864714087,7.892479267943953,8.701657458563536,7.3433512900482,9.90606319385141,8.623595505617978,8.146920740127037,8.117062396466041,7.740872906944826,8.166109253065775,9.010043041606886,7.536397373679702,8.35870467755328,7.315045719035744,8.454436664439585,1.0443498280145505,7.639680758310723,8.402747726384309,8.878520173142334
20,11.540436170450233,9.402901785714286,9.617547806524184,11.94276279581728,11.09229466553768,11.005851212036779,10.082191780821919,10.91164095371669,11.6976938038344,13.240611961057025,11.060820367751061,9.098544232922732,10.139664804469275,11.181843343481871,10.234899328859061,10.307017543859649,10.146975692481629,9.423347398030943,9.385382059800666,10.579128440366972,9.270601336302896,10.36151437517791,11.09253065774805,11.161217587373168,9.374122930115071,12.615384615384615,10.206358059118795,13.33711691259932,10.267229254571026,12.268582481348439,11.05499438832772,10.996659242761693,8.9065497396547,10.022209883398112,10.625869262865091,10.713302120627926,12.166338859230121,11.046025104602512,10.09436659994281,10.414364640883978,9.668273320102069,11.84173071448904,10.112359550561797,10.16293841480254,10.353395913859746,9.113368103211638,10.200668896321071,10.645624103299857,9.534684556094776,9.7979518405757,9.032973122748684,10.5402085313037,1.047731275600925,9.854016351281302,10.330206728859697,11.059363872895226
